ds,y
2017-04-15,2
2017-04-17,2
2017-04-19,2
2017-04-22,2
2017-04-24,1
2017-04-26,1
2017-04-29,3
2017-05-03,1
2017-05-06,2
2017-05-08,2
2017-05-10,2
2017-05-15,2
2017-05-17,2
2017-05-20,2
2017-05-22,2
2017-05-24,2
2017-05-27,2
2017-05-29,2
2017-05-31,2
2017-06-03,2
2017-06-05,2
2017-06-07,2
2017-06-09,2
2017-06-10,2
2017-06-12,2
2017-06-14,2
2017-06-16,0
2017-06-17,2
2017-06-19,2
2017-06-21,2
2017-06-23,2
2017-06-24,2
2017-06-26,2
2017-06-28,2
2017-06-30,2
2017-07-01,2
2017-07-03,2
2017-07-05,2
2017-07-07,2
2017-07-08,2
2017-07-10,2
2017-07-12,2
2017-07-14,2
2017-07-15,4
2017-07-17,4
2017-07-19,4
2017-07-21,4
2017-07-22,3
2017-07-24,3
2017-07-26,4
2017-07-28,3
2017-07-29,3
2017-07-31,2
2017-08-02,1
2017-08-04,2
2017-08-05,2
2017-08-07,2
2017-08-09,2
2017-08-11,2
2017-08-12,2
2017-08-14,1
2017-08-16,2
2017-08-18,2
2017-08-19,2
2017-08-21,2
2017-08-23,3
2017-08-25,2
2017-08-26,2
2017-08-28,0
2017-08-30,0
2017-09-01,0
2017-09-02,0
2017-09-04,0
2017-09-06,0
2017-09-08,0
2017-09-09,0
2017-09-11,0
2017-09-13,2
2017-09-15,2
2017-09-16,2
2017-09-18,1
2017-09-20,2
2017-09-22,2
2017-09-23,2
2017-09-25,2
2017-09-27,2
2017-09-29,2
2017-09-30,2
2017-10-02,2
2017-10-04,2
2017-10-06,2
2017-10-07,2
2017-10-09,2
2017-10-11,2
2017-10-13,2
2017-10-14,1
2017-10-16,2
2017-10-18,2
2017-10-20,2
2017-10-21,2
2017-10-23,2
2017-10-25,2
2017-10-27,2
2017-10-28,1
2017-10-30,1
2017-11-01,1
2017-11-03,2
2017-11-08,1
2017-11-10,2
2017-11-12,1
2017-11-15,2
2017-11-17,2
2017-11-19,1
2017-11-22,2
2017-11-24,2
2017-11-26,2
2017-11-29,1
2017-12-01,1
2017-12-06,1
2017-12-08,0
2017-12-10,1
2017-12-13,1
