ds,y
11/19/2019 7:30:00 AM,40
11/18/2019 7:30:00 AM,52
11/16/2019 7:30:00 AM,42
11/15/2019 7:30:00 AM,37
11/14/2019 7:30:00 AM,31
11/12/2019 7:30:00 AM,52
11/11/2019 7:30:00 AM,83
11/9/2019 7:30:00 AM,48
11/8/2019 7:30:00 AM,66
11/7/2019 7:30:00 AM,38
11/5/2019 7:30:00 AM,74
11/4/2019 7:45:00 AM,15
11/4/2019 7:30:00 AM,36
11/2/2019 7:45:00 AM,19
11/2/2019 7:30:00 AM,61
10/31/2019 7:45:00 AM,14
10/31/2019 7:15:00 AM,60
10/30/2019 7:30:00 AM,29
10/29/2019 7:45:00 AM,18
10/29/2019 7:15:00 AM,58
10/28/2019 7:45:00 AM,16
10/28/2019 7:15:00 AM,98
10/26/2019 7:45:00 AM,11
10/26/2019 7:15:00 AM,49
10/25/2019 7:45:00 AM,21
10/25/2019 7:15:00 AM,90
10/24/2019 7:45:00 AM,10
10/24/2019 7:15:00 AM,72
10/23/2019 7:30:00 AM,50
10/22/2019 7:45:00 AM,24
10/22/2019 7:15:00 AM,106
10/21/2019 7:45:00 AM,12
10/21/2019 7:15:00 AM,134
10/19/2019 7:45:00 AM,8
10/19/2019 7:15:00 AM,101
10/18/2019 7:45:00 AM,4
10/18/2019 7:15:00 AM,104
10/17/2019 7:45:00 AM,10
10/17/2019 7:15:00 AM,119
10/16/2019 7:30:00 AM,21
10/15/2019 7:45:00 AM,14
10/15/2019 7:15:00 AM,123
10/14/2019 7:45:00 AM,29
10/14/2019 7:15:00 AM,152
10/12/2019 7:45:00 AM,16
10/12/2019 7:15:00 AM,138
10/11/2019 7:45:00 AM,29
10/11/2019 7:15:00 AM,116
10/10/2019 7:45:00 AM,19
10/10/2019 7:16:00 AM,4
10/10/2019 7:15:00 AM,158
10/9/2019 7:30:00 AM,57
10/8/2019 7:45:00 AM,30
10/8/2019 7:31:00 AM,5
10/8/2019 7:15:00 AM,147
10/7/2019 7:45:00 AM,5
10/7/2019 7:15:00 AM,187
10/5/2019 7:45:00 AM,16
10/5/2019 7:15:00 AM,103
10/4/2019 7:45:00 AM,17
10/4/2019 7:15:00 AM,178
