"ds","y"
"2015-01-02 07:35:00","23"
"2015-01-02 07:35:00","2"
"2015-01-02 07:35:00","4"
"2015-01-02 07:35:00","7"
"2015-01-03 07:35:00","9"
"2015-01-03 07:35:00","2"
"2015-01-05 07:35:00","12"
"2015-01-05 07:35:00","24"
"2015-01-08 07:35:00","23"
"2015-01-09 07:35:00","8"
"2015-01-10 07:35:00","7"
"2015-01-13 07:35:00","12"
"2015-01-15 07:35:00","9"
"2015-01-17 07:35:00","2"
"2015-01-19 07:35:00","3"
"2015-01-20 07:35:00","10"
"2015-01-22 07:35:00","3"
"2015-01-23 07:35:00","4"
"2015-01-24 07:35:00","8"
"2015-01-26 07:35:00","2"
"2015-01-27 07:35:00","4"
"2015-01-29 07:35:00","2"
"2015-02-02 07:35:00","5"
"2015-02-03 07:35:00","5"
"2015-02-05 07:35:00","6"
"2015-02-07 07:35:00","9"
"2015-02-09 07:35:00","6"
"2015-02-12 07:35:00","5"
"2015-02-13 07:35:00","4"
"2015-02-13 07:35:00","2"
"2015-02-16 07:35:00","10"
"2015-02-17 07:35:00","9"
"2015-02-19 07:35:00","10"
"2015-02-21 07:35:00","4"
"2015-02-23 07:35:00","6"
"2015-02-24 07:35:00","12"
"2015-02-24 07:35:00","2"
"2015-02-26 07:35:00","8"
"2015-02-27 07:35:00","2"
"2015-02-28 07:35:00","4"
"2015-03-02 07:35:00","11"
"2015-03-03 07:35:00","8"
"2015-03-05 07:35:00","4"
"2015-03-06 07:35:00","9"
"2015-03-07 07:35:00","8"
"2015-03-09 07:35:00","29"
"2015-03-10 07:35:00","10"
"2015-03-12 07:35:00","11"
"2015-03-13 07:35:00","19"
"2015-03-14 07:35:00","20"
"2015-03-16 07:35:00","36"
"2015-03-17 07:35:00","33"
"2015-03-20 07:35:00","16"
"2015-03-21 07:35:00","21"
"2015-03-23 07:35:00","54"
"2015-03-26 07:35:00","25"
"2015-03-27 07:35:00","57"
"2015-03-28 07:35:00","24"
"2015-03-28 07:35:00","6"
"2015-03-30 07:35:00","59"
"2015-03-31 07:35:00","31"
"2015-04-02 07:35:00","36"
"2015-04-03 07:35:00","40"
"2015-04-03 07:35:00","3"
"2015-04-04 07:35:00","33"
"2015-04-07 07:35:00","72"
"2015-04-09 07:35:00","35"
"2015-04-10 07:35:00","32"
"2015-04-11 07:35:00","33"
"2015-04-13 07:35:00","36"
"2015-04-13 07:35:00","3"
"2015-04-14 07:35:00","24"
"2015-04-16 07:35:00","32"
