"ds","y"
"2016-01-02","13"
"2016-01-04","12"
"2016-01-06","7"
"2016-01-09","2"
"2016-01-13","0"
"2016-01-16","0"
"2016-01-20","2"
"2016-01-23","2"
"2016-01-27","0"
"2016-01-30","0"
"2016-02-03","6"
"2016-02-06","2"
"2016-02-10","5"
"2016-02-13","0"
"2016-02-17","8"
"2016-02-20","4"
"2016-02-22","2"
"2016-02-27","14"
"2016-03-01","0"
"2016-03-03","0"
"2016-03-05","0"
"2016-03-10","12"
"2016-03-12","10"
"2016-03-15","12"
"2016-03-17","9"
"2016-03-19","15"
"2016-03-22","13"
"2016-03-24","9"
"2016-03-26","26"
"2016-03-29","14"
"2016-03-31","25"
"2016-04-02","8"
"2016-04-05","15"
"2016-04-07","9"
"2016-04-09","20"
"2016-04-12","12"
"2016-04-14","27"
"2016-04-16","8"
"2016-04-19","29"
"2016-04-21","21"
"2016-04-23","22"
"2016-04-26","14"
"2016-04-28","26"
"2016-04-30","29"
"2016-05-02","11"
"2016-05-03","22"
"2016-05-05","26"
"2016-05-07","25"
"2016-05-09","21"
"2016-05-10","12"
"2016-05-12","29"
"2016-05-14","29"
"2016-05-16","14"
"2016-05-17","20"
"2016-05-19","28"
"2016-05-21","40"
"2016-05-23","16"
"2016-05-24","27"
"2016-05-26","35"
"2016-05-28","24"
"2016-05-30","27"
"2016-05-31","30"
"2016-06-04","29"
"2016-06-06","26"
"2016-06-07","22"
"2016-06-09","30"
"2016-06-10","2"
"2016-06-11","61"
"2016-06-13","28"
"2016-06-14","47"
"2016-06-16","42"
"2016-06-18","60"
"2016-06-20","30"
"2016-06-21","22"
"2016-06-23","60"
"2016-06-25","15"
"2016-06-27","31"
"2016-06-28","60"
"2016-06-30","30"
"2016-07-02","44"
"2016-07-04","38"
"2016-07-05","34"
"2016-07-06","3"
"2016-07-07","30"
"2016-07-09","45"
"2016-07-11","31"
"2016-07-12","33"
"2016-07-14","30"
"2016-07-16","29"
"2016-07-18","23"
"2016-07-19","32"
"2016-07-21","20"
"2016-07-23","27"
"2016-07-25","24"
"2016-07-26","29"
"2016-07-28","30"
"2016-07-30","30"
"2016-08-01","14"
"2016-08-02","30"
"2016-08-04","29"
"2016-08-06","30"
"2016-08-08","21"
"2016-08-09","28"
"2016-08-11","28"
"2016-08-13","14"
"2016-08-16","10"
"2016-08-18","15"
"2016-08-20","29"
"2016-08-22","14"
"2016-08-23","30"
"2016-08-25","22"
"2016-08-27","29"
"2016-08-29","29"
"2016-08-30","23"
"2016-09-01","24"
"2016-09-03","30"
"2016-09-05","29"
"2016-09-06","30"
"2016-09-08","27"
"2016-09-09","7"
"2016-09-10","34"
"2016-09-12","44"
"2016-09-13","57"
"2016-09-15","61"
"2016-09-17","44"
"2016-09-19","55"
"2016-09-20","45"
"2016-09-21","2"
"2016-09-22","44"
"2016-09-24","45"
"2016-09-26","43"
"2016-09-27","44"
"2016-09-29","34"
"2016-10-01","29"
"2016-10-03","51"
"2016-10-04","44"
"2016-10-06","28"
"2016-10-08","30"
"2016-10-10","30"
"2016-10-11","43"
"2016-10-13","43"
"2016-10-15","34"
"2016-10-17","15"
"2016-10-18","34"
"2016-10-20","14"
"2016-10-22","22"
"2016-10-24","13"
"2016-10-25","22"
"2016-10-27","29"
"2016-10-29","15"
"2016-10-31","27"
"2016-11-03","6"
"2016-11-05","29"
"2016-11-07","23"
"2016-11-10","16"
"2016-11-12","11"
"2016-11-14","18"
"2016-11-17","15"
"2016-11-19","14"
"2016-11-21","27"
"2016-11-24","15"
"2016-11-26","6"
"2016-11-28","16"
"2016-12-01","7"
"2016-12-03","7"
