ds,y
1/2/2015,23
1/2/2015,2
1/2/2015,4
1/2/2015,7
1/3/2015,9
1/3/2015,2
1/5/2015,12
1/5/2015,24
1/8/2015,23
1/9/2015,8
1/10/2015,7
1/12/2015,0
1/13/2015,12
1/15/2015,9
1/17/2015,2
1/19/2015,3
1/20/2015,10
1/22/2015,3
1/23/2015,4
1/24/2015,8
1/26/2015,2
1/27/2015,4
1/29/2015,2
1/31/2015,0
2/2/2015,5
2/3/2015,5
2/5/2015,6
2/6/2015,0
2/7/2015,9
2/9/2015,6
2/10/2015,0
2/12/2015,5
2/13/2015,4
2/13/2015,2
2/14/2015,0
2/16/2015,10
2/17/2015,9
2/19/2015,10
2/21/2015,4
2/23/2015,6
2/24/2015,12
2/24/2015,2
2/26/2015,8
2/27/2015,2
2/28/2015,4
3/2/2015,11
3/3/2015,8
3/5/2015,4
3/6/2015,9
3/7/2015,8
3/9/2015,29
3/10/2015,10
3/12/2015,11
3/13/2015,19
3/14/2015,20
3/16/2015,36
3/17/2015,33
3/20/2015,16
3/21/2015,21
3/23/2015,54
3/26/2015,25
3/27/2015,57
3/28/2015,24
3/28/2015,6
3/30/2015,59
3/31/2015,31
4/2/2015,36
4/3/2015,40
4/3/2015,3
4/4/2015,33
4/7/2015,72
4/9/2015,35
4/10/2015,32
4/11/2015,33
4/13/2015,36
4/13/2015,3
4/14/2015,24
4/16/2015,32
4/17/2015,34
4/18/2015,0
4/18/2015,17
4/18/2015,6
4/20/2015,46
4/21/2015,36
4/23/2015,39
4/24/2015,28
4/25/2015,36
4/27/2015,36
4/28/2015,33
4/30/2015,48
5/2/2015,55
5/4/2015,72
5/4/2015,4
5/4/2015,0
5/5/2015,72
5/5/2015,2
5/7/2015,52
5/7/2015,6
5/8/2015,72
5/8/2015,16
5/8/2015,0
5/8/2015,3
5/9/2015,60
5/11/2015,58
5/12/2015,65
5/12/2015,4
5/14/2015,83
5/15/2015,48
5/16/2015,64
5/18/2015,59
5/18/2015,4
5/19/2015,108
5/19/2015,0
5/21/2015,60
5/22/2015,48
5/22/2015,3
5/23/2015,24
5/25/2015,71
5/25/2015,0
5/26/2015,78
5/28/2015,60
5/29/2015,72
5/30/2015,70
6/1/2015,46
6/1/2015,6
6/2/2015,58
6/2/2015,46
6/2/2015,5
6/4/2015,46
6/4/2015,2
6/5/2015,48
6/5/2015,3
6/6/2015,51
6/8/2015,96
6/8/2015,0
6/9/2015,95
6/9/2015,14
6/11/2015,96
6/11/2015,2
6/12/2015,60
6/13/2015,60
6/13/2015,10
6/15/2015,107
6/16/2015,108
6/18/2015,108
6/19/2015,86
6/19/2015,17
6/20/2015,72
6/22/2015,93
6/22/2015,2
6/23/2015,83
6/23/2015,2
6/25/2015,108
6/25/2015,4
6/25/2015,4
6/26/2015,106
6/27/2015,72
6/27/2015,4
6/30/2015,108
6/30/2015,0
7/2/2015,84
7/3/2015,108
7/4/2015,65
7/6/2015,108
7/6/2015,4
7/7/2015,108
7/8/2015,12
7/9/2015,61
7/9/2015,2
7/10/2015,84
7/10/2015,3
7/11/2015,59
7/13/2015,84
7/13/2015,2
7/14/2015,72
7/15/2015,23
7/16/2015,81
7/17/2015,59
7/18/2015,60
7/18/2015,7
7/20/2015,72
7/21/2015,71
7/22/2015,19
7/23/2015,60
7/24/2015,36
7/25/2015,47
7/27/2015,35
7/28/2015,47
7/29/2015,33
7/30/2015,52
7/31/2015,20
8/1/2015,60
8/3/2015,70
8/4/2015,56
8/6/2015,73
8/7/2015,46
8/8/2015,43
8/10/2015,68
8/10/2015,2
8/11/2015,73
8/13/2015,59
8/14/2015,72
8/17/2015,34
8/18/2015,48
8/20/2015,60
8/21/2015,59
8/22/2015,35
8/22/2015,3
8/24/2015,47
8/25/2015,50
8/27/2015,44
8/28/2015,51
8/29/2015,47
8/31/2015,58
8/31/2015,2
9/1/2015,44
9/3/2015,48
9/3/2015,0
9/4/2015,58
9/5/2015,48
9/7/2015,95
9/8/2015,95
9/10/2015,105
9/11/2015,71
9/11/2015,0
9/12/2015,48
9/12/2015,8
9/14/2015,84
9/15/2015,81
9/15/2015,2
9/17/2015,108
9/17/2015,4
9/17/2015,2
9/18/2015,84
9/19/2015,81
9/21/2015,39
9/21/2015,2
9/21/2015,9
9/22/2015,134
9/24/2015,86
9/24/2015,0
9/24/2015,2
9/25/2015,71
9/25/2015,8
9/26/2015,59
9/26/2015,2
9/28/2015,64
9/29/2015,129
10/1/2015,83
10/2/2015,67
10/2/2015,18
10/3/2015,70
10/3/2015,11
10/5/2015,95
10/6/2015,84
10/6/2015,30
10/8/2015,71
10/8/2015,2
10/8/2015,12
10/9/2015,81
10/9/2015,0
10/10/2015,53
10/10/2015,7
10/12/2015,92
10/13/2015,60
10/13/2015,2
10/15/2015,84
10/16/2015,45
10/16/2015,2
10/16/2015,20
10/17/2015,71
10/19/2015,72
10/20/2015,69
10/22/2015,46
10/23/2015,47
10/23/2015,2
10/23/2015,17
10/24/2015,44
10/24/2015,3
10/26/2015,47
10/27/2015,31
10/27/2015,9
10/27/2015,9
10/29/2015,36
10/29/2015,2
10/29/2015,13
10/30/2015,44
10/31/2015,7
11/2/2015,54
11/3/2015,20
11/5/2015,22
11/5/2015,7
11/7/2015,23
11/9/2015,24
11/10/2015,9
11/12/2015,32
11/13/2015,6
11/14/2015,10
11/16/2015,20
11/17/2015,11
11/19/2015,10
11/20/2015,13
11/21/2015,15
